"year","unitid","inst_name","state_name","years_after_entry","earnings_mean"
"2014","146612","Lewis University","Illinois","6","43800"
"2014","146612","Lewis University","Illinois","8","48900"
"2014","146667","Lincoln Christian University","Illinois","10","37000"
"2014","146667","Lincoln Christian University","Illinois","6","28100"
"2014","146667","Lincoln Christian University","Illinois","8","33300"
"2014","146676","Lincoln College","Illinois","10","34700"
"2014","146676","Lincoln College","Illinois","6","24900"
"2014","146676","Lincoln College","Illinois","8","30600"
"2014","146719","Loyola University Chicago","Illinois","10","63500"
"2014","146719","Loyola University Chicago","Illinois","6","45200"
"2014","146719","Loyola University Chicago","Illinois","8","54200"
"2014","146755","Trinity College of Nursing & Health Sciences","Illinois","10","50600"
"2014","146755","Trinity College of Nursing & Health Sciences","Illinois","6","42600"
"2014","146755","Trinity College of Nursing & Health Sciences","Illinois","8","43100"
"2014","146825","MacMurray College","Illinois","10","39300"
"2014","146825","MacMurray College","Illinois","6","32000"
"2014","146825","MacMurray College","Illinois","8","35200"
"2014","147013","McKendree University","Illinois","10","50200"
"2014","147013","McKendree University","Illinois","6","39200"
"2014","147013","McKendree University","Illinois","8","43600"
"2014","147129","Methodist College","Illinois","10","Suppressed data"
"2014","147129","Methodist College","Illinois","6","51000"
"2014","147129","Methodist College","Illinois","8","50400"
"2014","147244","Millikin University","Illinois","10","47200"
"2014","147244","Millikin University","Illinois","6","34900"
"2014","147244","Millikin University","Illinois","8","42800"
"2014","147341","Monmouth College","Illinois","10","46500"
"2014","147341","Monmouth College","Illinois","6","34500"
"2014","147341","Monmouth College","Illinois","8","42500"
"2014","147369","Moody Bible Institute","Illinois","10","Suppressed data"
"2014","147369","Moody Bible Institute","Illinois","6","29900"
"2014","147369","Moody Bible Institute","Illinois","8","Suppressed data"
"2014","147536","National Louis University","Illinois","10","50800"
"2014","147536","National Louis University","Illinois","6","44200"
"2014","147536","National Louis University","Illinois","8","47100"
"2014","147590","National University of Health Sciences","Illinois","10","42600"
"2014","147590","National University of Health Sciences","Illinois","6","38700"
"2014","147590","National University of Health Sciences","Illinois","8","42600"
"2014","147660","North Central College","Illinois","10","52300"
"2014","147660","North Central College","Illinois","6","39300"
"2014","147660","North Central College","Illinois","8","47700"
"2014","147679","North Park University","Illinois","10","45600"
"2014","147679","North Park University","Illinois","6","40300"
"2014","147679","North Park University","Illinois","8","43300"
"2014","147703","Northern Illinois University","Illinois","10","49800"
"2014","147703","Northern Illinois University","Illinois","6","39400"
"2014","147703","Northern Illinois University","Illinois","8","45100"
"2014","147767","Northwestern University","Illinois","10","93400"
"2014","147767","Northwestern University","Illinois","6","71900"
"2014","147767","Northwestern University","Illinois","8","82800"
"2014","147776","Northeastern Illinois University","Illinois","10","41900"
"2014","147776","Northeastern Illinois University","Illinois","6","35200"
"2014","147776","Northeastern Illinois University","Illinois","8","38500"
"2014","147828","Olivet Nazarene University","Illinois","10","44000"
"2014","147828","Olivet Nazarene University","Illinois","6","39300"
"2014","147828","Olivet Nazarene University","Illinois","8","41400"
"2014","148131","Quincy University","Illinois","10","46000"
"2014","148131","Quincy University","Illinois","6","34200"
"2014","148131","Quincy University","Illinois","8","39500"
"2014","148335","Robert Morris University Illinois","Illinois","10","36500"
"2014","148335","Robert Morris University Illinois","Illinois","6","33000"
"2014","148335","Robert Morris University Illinois","Illinois","8","35400"
"2014","148405","Rockford University","Illinois","10","47800"
"2014","148405","Rockford University","Illinois","6","38300"
"2014","148405","Rockford University","Illinois","8","41300"
"2014","148487","Roosevelt University","Illinois","10","47700"
"2014","148487","Roosevelt University","Illinois","6","39700"
"2014","148487","Roosevelt University","Illinois","8","43900"
"2014","148496","Dominican University","Illinois","10","49900"
"2014","148496","Dominican University","Illinois","6","39000"
"2014","148496","Dominican University","Illinois","8","44400"
"2014","148511","Rush University","Illinois","10","125000"
"2014","148511","Rush University","Illinois","6","67000"
"2014","148511","Rush University","Illinois","8","98100"
"2014","148575","Saint Francis Medical Center College of Nursing","Illinois","10","58100"
"2014","148575","Saint Francis Medical Center College of Nursing","Illinois","6","52600"
"2014","148575","Saint Francis Medical Center College of Nursing","Illinois","8","55600"
"2014","148584","University of St Francis","Illinois","10","56500"
"2014","148584","University of St Francis","Illinois","6","47100"
"2014","148584","University of St Francis","Illinois","8","52800"
"2014","148593","St John's College of Nursing","Illinois","10","Suppressed data"
"2014","148593","St John's College of Nursing","Illinois","6","Suppressed data"
"2014","148593","St John's College of Nursing","Illinois","8","Suppressed data"
"2014","148627","Saint Xavier University","Illinois","10","50600"
"2014","148627","Saint Xavier University","Illinois","6","41400"
"2014","148627","Saint Xavier University","Illinois","8","47300"
"2014","148654","University of Illinois at Springfield","Illinois","10","49900"
"2014","148654","University of Illinois at Springfield","Illinois","6","38500"
"2014","148654","University of Illinois at Springfield","Illinois","8","44100"
"2014","148849","Shimer College","Illinois","10","Suppressed data"
"2014","148849","Shimer College","Illinois","6","Suppressed data"
"2014","148849","Shimer College","Illinois","8","Suppressed data"
"2014","148876","Saint Augustine College","Illinois","10","29500"
"2014","148876","Saint Augustine College","Illinois","6","25400"
"2014","148876","Saint Augustine College","Illinois","8","26600"
"2014","149028","Saint Anthony College of Nursing","Illinois","10","60100"
"2014","149028","Saint Anthony College of Nursing","Illinois","6","54700"
"2014","149028","Saint Anthony College of Nursing","Illinois","8","56800"
"2014","149222","Southern Illinois University-Carbondale","Illinois","10","49500"
"2014","149222","Southern Illinois University-Carbondale","Illinois","6","36700"
"2014","149222","Southern Illinois University-Carbondale","Illinois","8","43200"
"2014","149231","Southern Illinois University-Edwardsville","Illinois","10","50800"
"2014","149231","Southern Illinois University-Edwardsville","Illinois","6","39600"
"2014","149231","Southern Illinois University-Edwardsville","Illinois","8","45200"
"2014","149329","Telshe Yeshiva-Chicago","Illinois","10","Suppressed data"
"2014","149329","Telshe Yeshiva-Chicago","Illinois","6","Suppressed data"
"2014","149329","Telshe Yeshiva-Chicago","Illinois","8","Suppressed data"
"2014","149505","Trinity Christian College","Illinois","10","44600"
"2014","149505","Trinity Christian College","Illinois","6","39600"
"2014","149505","Trinity Christian College","Illinois","8","41400"
"2014","149514","Trinity International University-Illinois","Illinois","10","45400"
"2014","149514","Trinity International University-Illinois","Illinois","6","35400"
"2014","149514","Trinity International University-Illinois","Illinois","8","40000"
"2014","149639","VanderCook College of Music","Illinois","10","Suppressed data"
"2014","149639","VanderCook College of Music","Illinois","6","Suppressed data"
"2014","149639","VanderCook College of Music","Illinois","8","Suppressed data"
"2014","149763","Resurrection University","Illinois","10","72900"
"2014","149763","Resurrection University","Illinois","6","64000"
"2014","149763","Resurrection University","Illinois","8","69900"
"2014","149772","Western Illinois University","Illinois","10","47500"
"2014","149772","Western Illinois University","Illinois","6","37000"
"2014","149772","Western Illinois University","Illinois","8","42100"
"2014","149781","Wheaton College","Illinois","10","60500"
"2014","149781","Wheaton College","Illinois","6","39600"
"2014","149781","Wheaton College","Illinois","8","48700"
"2014","156189","Alice Lloyd College","Kentucky","10","41600"
"2014","156189","Alice Lloyd College","Kentucky","6","28400"
"2014","156189","Alice Lloyd College","Kentucky","8","37600"
"2014","156213","Asbury University","Kentucky","10","40700"
"2014","156213","Asbury University","Kentucky","6","29300"
"2014","156213","Asbury University","Kentucky","8","34800"
"2014","156222","Asbury Theological Seminary","Kentucky","10","50200"
"2014","156222","Asbury Theological Seminary","Kentucky","6","43700"
"2014","156222","Asbury Theological Seminary","Kentucky","8","52000"
"2014","156286","Bellarmine University","Kentucky","10","50600"
"2014","156286","Bellarmine University","Kentucky","6","43100"
"2014","156286","Bellarmine University","Kentucky","8","48400"
"2014","156295","Berea College","Kentucky","10","36300"
"2014","156295","Berea College","Kentucky","6","27100"
